index,ID,评语,positive_prob,confidence,negative_prob,sentiment,情感极性判断,平均分,Tag
11,2.07E+18,论文认为“农民进城购房”是理性表现，但这似乎是前提假设，而不一定是通过数据分析得出的结论。国外研究不够，文献不足，创新新差，操作性不强，针对性不差有实证研究，格式规范，选材代表性差，理论与实践缺乏,0.000600273,0.998666,0.9994,0,负向,72,1
12,2.48E+16,改论文有一定的理论意义和现实意义，整体论述较为系统规范。不足之处在于：对于“见义勇为”的学理分析不够；对“见义不为”形成机制缺乏应有阐述；减少见义不为途径显得空泛。论文对见义不为的类型做了区分，并从伦理学的视角分析了见义不为现象的表现、成因。论文结构清晰，格式规范。不足之处是缺乏对见义不为现象的实证研究。另外，有些语词的使用和表述不够准确。论文的选题很有社会现实意义，注重对相关概念的辨析，并且在对相关理论进行论证时引用案例丰富。主要不足之处：文献综述需要进一步完整和深入，概念辨析和语言的表达需要更为准确。,0.969326,0.931835,0.0306744,2,正向,88,1
13,8.27E+18,该论文理论意义与现实意义突出，整体论述有一定的深度。不足之处在于：对于前沿成果的把握不够全面；马克思恩格斯经济循环思想的时代特征和历史地位缺乏应有阐述。论文的选题具有一定的理论价值和社会现实意义，论文内容的论述显示出作者具有比较扎实的理论基础。主要不足之处：国内外相关研究文献需要进一步收集，文献综述需要更加完整和深入，论文中一些格式需要进一步规范化。论文选题有较强的现实意义，研究内容比较丰富，结构比较完整，行为规范。不足之处是对马克思恩格斯循环经济思想现代价值的探讨停留在表面，缺乏深入分析和研究。,0.988405,0.974234,0.0115947,2,正向,90,1
14,4.82E+18,选题有意义，有现实性，选题偏大，结构较差，文献不够1、整个研究缺乏基本的学科支撑。没有基于某个或者某些相关学科对主题进行深入的分析和阐述，因此缺乏认识深度和基本的学科语境，很多表述不规范不严谨，泛泛议论较多，缺乏深入分析和观点阐述。2、论文缺乏对习近平治国理政重要论述的深入分析和把握，认识上没有达到历史与逻辑、理论与实践的统一，论文整体内容显得零散，缺乏围绕研究主题应该形成的认识实践。缺少对现状的提炼，文章论证不充分，过于表面化,0.00637666,0.98583,0.993623,0,负向,70,1
15,2.55E+18,选题有意义，有现实性，标题不规范，观点有创意。①“摘要”第一部分更像是“选题的意义”②归纳中华文化道德传播困境时，逻辑有不周延之处资料陈旧，新颖性不足，格式不规范,0.0019005,0.995777,0.9981,0,负向,79,1
16,6.59E+18,理论意义现实意义较好，结构合理，文献引用规范，摘要错误观点，论文条理清晰，论述充分，结构有问题，可提高理论性选题具有一定意义，结构合理，分析充分，对相关问题研究比较深刻，是一篇较好的论文,0.992393,0.983095,0.00760717,2,正向,86,1
17,1.02E+18,部分内容冗长，部分内容单薄，进一步补充分析问题逻辑清晰，语言严谨，但最近对马克思分配理论在我国的实际应用，应强化论证部分内容分析不深入和系统，理论深度不够，所设想指导意义不明确,0.000414189,0.99908,0.999586,0,负向,87,1
18,3.09E+18,"论文结构的合理性稍差。1.论文的结构体系需要调整。应将第一章中的相关理论基础部分的内容与第二章整合；
2.应通过对案例开展全面深入的剖析，归纳提炼出具有普适意义的监管、制度等方面相应的对策措施；
3.论文工作量和研究深度方面存在一定的不足。1.方法与建议较为简单；
论文规范性不强。",0.127479,0.716712,0.872521,0,负向,67,2
19,8.20E+18,"1.标题序号前规范；
2.研究方法与建议较为简单。论文题目不够准确；第一章结构过细，应适当归并；用表格进行文献综述合适吗？第三章题目及结构欠合理；深创投对企业创新能力的影响路径没有分析清楚。1.重点内容分析不够深入。案例分析较多，影响研究较少，如对影响因素没有做出深入分析。
2.引文不够规范。有些引文没有标注，参考文献中60-90，在论文中未加标注。",5.11E-05,0.999887,0.999949,0,负向,72,2
20,8.34E+18,"1.创新点不成立。
结构安排有不合理之处。缺乏深层次及系统的理论解析。1.应从案例分析中提炼出的舞弊动机、舞弊手段、舞弊环节、舞弊结果等方面构建完善的监管机制；
2.从监管体系完善、监管制度执行、企业文化建设、人员职业道德和法律意识等方面提出相关对策建议。",0.000172631,0.999616,0.999827,0,负向,74,2
21,7.84E+18,"对于案例缺乏深度挖掘与分析。论文选题有现实指导意义, 结构安排合理.写作较规范,语言表达准确合理,但研究的深度不够.如果有与成功案例的比较和借鉴对结论会更好.本文用案例分析范式会更好. 1.研究方法简单；
   2.研究问题理论支撑不足；
   3.个别地方写作不规范。",0.0559107,0.875754,0.944089,0,负向,77,2
22,6.18E+17,"1.摘要撰写不规范；
2.参考文献未标注。章节序号欠规范；注意提炼研究结论；个别用词欠准确，有错别字；个别图表使用欠规范。1.引文标注不规范，参考文献未在文中标出具体位置
2.创新性不够，具有时代感和现实意义，具有时代性和典型的代表性不是创新点。
3.文中罗列理论较多，但和后面的分析结合不够。",3.04E-05,0.999932,0.99997,0,负向,77,2
23,4.50E+18,"1. 创新点部分写的实际上是研究的意义。问题分析缺乏说服力。缺乏对成本管理过程和业务管理过程的分析，论文的论述书主要围绕成本管理，而非精细化。1.国内外研究现状应进一步条理化，从不同方面开展全面系统的分析和总结；
2.结合所构建的成本精细化管理方案，在详细开展成本精细化管理方面仍有进一步深化的空间。",0.00435617,0.99032,0.995644,0,负向,78,2
24,6.10E+17,"1.文章内容中有些地方语言表达逻辑性不强
   2.研究方法、创新点等归纳不准确
   3.相关理论分析没有与该文研究问题紧密结合
   4.方法较简单
   5.个别地方写作不规范1.创新点不成立。
2.有些表的没有写明数据来源。
理论和实际分析联系不紧密。绩效分析应尽可能做到消除其他因素的影响。",6.25E-05,0.999861,0.999938,0,负向,78,2
25,2.87E+18,"基本评价：论文依据哈佛框架财务分析原理，利用资本市场和有关数据，对美的集团进行了分析，提出了相关的对策建议。
问题和建议：注意加强论文的图标、行文、徐浩的规范性。文献综述与理论基础论述不足，建议第三章分成两章撰写，第四章工作量不够，建议内容太少，缺乏细化。",0.143366,0.681409,0.856634,0,负向,79,2
26,3.05E+18,"1.重点研究内容不够突出。文中只有第4章重点围绕题目来分析。
2.论文内容与题目不能完全匹配。题目是钢铁企业.....,而文中重点围绕SJZ钢铁公司这一案例来分析。基本评价：论文依据标准成本法和作业成本法的基本原理，结合SJZ钢铁公司的实际，对两种方法的结合进行了可行性分析和结合运用的思路，提出了相关的对策建议。
问题和建议：建议针对两种不同方法的特点，提出财务管理中相关的详尽实施方案和基础工作。",0.186337,0.585918,0.813663,0,负向,79,2
27,3.64E+18,"1.文中存在错别字。
2.参考文献中学位论文的占比过高。
文章并没有说明“涉农”和一般企业在评价上有何不同。缺乏较系统的综述研究。1.论文研究内容需要丰富。应开展研究对象时间序列分析评价，从动态角度考察研究对象财务竞争力的发展变化；
2.改进建议对策方面深度上存在不足。应结合每个方面开展深入具体的对策建议方面的探索研究。",0.0153595,0.965868,0.98464,0,负向,80,2
28,3.03E+18,"没有提炼创新点；章节篇幅不够均衡；标点符号和序号的使用欠规范，有错别字；陈旧文献较多。1.论文结构简单。文中只有第4章重点围绕共享中心的构建来分析。
2.内容不够全面。本文共享中心的构建仅仅机构设置、业务流程再造两个方面还不够全面。
3.描述事实较多，深入分析较少。",9.70E-05,0.999784,0.999903,0,负向,80,2
29,7.85E+18,"1.企业并购绩效评价在突出财务绩效评价的同时，应将定性因素充分考虑进去，保证绩效评价的客观全面；
2.提出的建议和对策应从并购决策、并购实施过程和并购后运行及管理等方面开展深入研究。对非财务指标的绩效分析略显薄弱。图表制作及运用欠规范；有些题目和标题提炼不够准确；，论文的层次性欠缺。",0.00399142,0.99113,0.996009,0,负向,81,2
30,2.30E+17,"理论综述缺乏针对性，第三章与第四章的关联性应交代清楚，第四章本公司回购状况缺乏深入分析与论述，第六章与第七章表述泛泛。论文选取兴业证券作为案例分析有针对性,结构安排合理.写作较规范,语言表达准确合理,但研究的深度不够,运用的研究方法和工具较简单,如果能从财务专业的角度进行深入分析,文章的质量会有很大提升.  1.文献阅读较少，从第20个文献开始都是理论基础的参考，且多数为参考学位论文，这会导致较高的复制比；
    2.理论基础与相关问题关系的分析与论述较少。",0.141546,0.685454,0.858454,0,负向,83,2
31,4.85E+18,"论文思路较为清晰，行文较为流畅，对策建议需进一步梳理论文选题新颖,符合专业要求, 结构安排合理.写作较规范,语言表达准确合理,但研究的深度不够,大数据运用体现不充分. 1.文中个别语言缺乏学术性
    2.研究方法简单",0.707487,0.34997,0.292513,2,正向,83,2
32,7.03E+18,"缺乏创新观点。1.个别评价指标的设计上需要进一步斟酌；
2.评价指标体系的重要性程度确定方面有待进行更加科学的研究。可因一部增强对策建议的可操作性。",0.000662444,0.998528,0.999338,0,负向,84,2
33,3.61E+18,"论文选取一上市公司进行财务分析,专业性强,结构安排合理.分析专业化,写作较规范,语言表达准确合理,  1.写作不规范，如文章结构层次安排没有按照学位论文写作规范章节；
   2.文章中有些表中数据没有相应的解释说明或论述。1.创新点不成立。
结果分析对问题的总结不到位。",0.0125296,0.972156,0.98747,0,负向,84,2
34,5.25E+18,"基本评价：论文利用平衡积分卡原理和其他理论，结合HX公司财务共享中心的实际，设置相应的绩效评价体系并进行了实证分，提出了相关的对策建议。
问题和建议：1. 第三章绩效评价存在的问题论述不足，第四章模糊矩阵权重赋值的依据不足，问卷设计有待细化。论文结构安排合理.写作较规范,语言表达准确合理,平衡记分卡四个方面的赋值比率是否科学合理值得推敲,问卷调查的结果与模型中数据的使用没有起到相互支撑.",0.550702,0.00156005,0.449298,2,正向,85,2
35,8.38E+18,"1.国内外现状只是一些观点的罗列，没能深入总结
2.创新性总结不到位，使案例具有真实性和实践意义，不能称为创新点。基本评价：论文按照相关概念和理论，结合H案例公司实际现状提出了共享服务中心的绩效评价指标体系，结合实证分析提出了相关对策建议。
问题和建议：加强设定理论与案例分析的衔接",0.000608686,0.998648,0.999391,0,负向,85,2
36,2.67E+18,《我国民营企业债券违约原因及启示—“14 富贵鸟”案例分析》选题立足于社会实际问题，具有一定的实践意义。论文通过分析富贵鸟得出的结论是否可以推广到中国所有民营企业？本文理论基础较薄弱，理论层面的发呢席较少，所引用的近几年文献较少，英文文献较陈旧。论文写作粗糙，表格图表不严谨。第四章图表序号错误；缺乏理论基础介绍；工作量较为单薄。,0.000294222,0.999346,0.999706,0,负向,69,2
37,3.76E+18,分析、推理欠深入。《商业银行信用卡的风险管理研究——以中信银行为例》选题立足社会发展实际需求，具有较好的实践意义。论文研究思路较清晰，研究目的较明确，但论文提出的银行外部改进策略超出了商业银行的控制能力，可操作性不强，没有说明为什么选择中信银行的信用卡业务开展研究，以及中信银行信用卡业务的优劣势是什么。论文未按风险管理的框架分析，理论依据不足。,0.0164364,0.963475,0.983564,0,负向,70,2
38,1.52E+18,"1.没有文献标注。
有一些排版、页码、打印错误。分析、推理欠深入。《中行D支行汽车金融业务调研报告》选题立足于社会实际需求，具有一定的实践意义。研究目标基本明确，研究思路基本清晰，但问卷调查法使用不规范，没有对问卷进行信度效度分析，部分题项编制不合理，存在较多错字、别字，病句等格式问题，论文行文内容较口语化。",0.0615245,0.863279,0.938475,0,负向,71,2
39,5.76E+18,"案例不完整，对于MM期货公司资产管理存在的问题认识不到位，从而难以形成以其指导一般的相关启示。1、18页数据有明显错误
2、研究深度不够1.没有文献标注。
有些文不对题，题目小、内容大。主要论述了我国期货公司资产管理业务发展问题，仅由一个公司案例得出普遍意义的启示，没有说服力。",9.38E-06,0.999979,0.999991,0,负向,73,2
40,6.88E+18,"1、政策环境分析比较单薄，应有一个沿革性的总结
问题及原因分析不够深入1.个别打印错误，参考文献不规范。
2.无文献综述或理论基础。
有些文不对题，题目是调研报告，实际未采取访谈、问卷等调研方法，只是文献及资料获得信息数据。分析、推理欠深入。",0.000183146,0.999593,0.999817,0,负向,73,2
41,1.58E+17,"对商业银行绿色金融发展存在问题缺乏必要的分析，致使对策建议针对性不强；关键词选择的不好，文本分析法做关键词不知所云。缺少技术路线图。1、论文题目与论文内容设计不完全对应；
创新度不高。",6.82E-06,0.999985,0.999993,0,负向,77,2
42,1.69E+18,"《网贷平台宜人贷盈利模式改进研究》论文主要不足之处为：
1、论文所提供的“宜人贷”案例相关信息不够翔实，缺乏充分的数据支撑，对研究问题的分析亦不够深入。
2、对“宜人贷盈利模式”提出的改进建议较为笼统、针对性不足。
论文规范性较差，存在错别字、参考文献格式不统一等细节问题。案例挖掘不足表格字号不够规范；英文文献较为陈旧；理论基础介绍较为薄弱。",0.0108261,0.975942,0.989174,0,负向,77,2
43,7.20E+18,案例总结提炼需进一步。第四章表格序号错误；工作量较为单薄。,0.000831221,0.998153,0.999169,0,负向,77,2
44,8.09E+18,2.3.3专项计划结构图应该进行说明；个人信用评分指标体系缺乏依据；确定层次分析指标数值的过程需要说明。论文缺乏文献综述与创新点，所提建议针对性不强，与前述分析不相适应；关键词选择不合适,3.55E-05,0.999921,0.999965,0,负向,77,2
45,5.18E+16,"论文所提建议针对性不强，与前文分析不相适应。论文结构不够严谨，缺少研究内容及逻辑框架图表述，分析也欠深入。1、论文题目过大，芝麻信用不能代表全国的个人征信机构。
内容设计欠缺逻辑性，案例的嵌入生硬。",1.20E-05,0.999973,0.999988,0,负向,78,2
46,7.26E+18,"1、文章创新点提炼不准确
2、研究深度一般，描述有余，解析不足没有文献标注。应注重使用第一手资料和数据。",0.00317096,0.992953,0.996829,0,负向,80,2
47,4.47E+18,文献综述缺乏梳理；以现金流分析作为违约原因分析的切入点，需要论证；对策建议应围绕如何改善现金流为主。论文关键词选择不够准确研究意义阐述不够。,0.00121974,0.997289,0.99878,0,负向,80,2
48,2.89E+18,"《“17中誉二期”不良资产证券化案例分析》论文的不足之处为：
1、论文“3.1.2”一节，在说明“抵押物种类相关性”时，仅列出相关系数的公式，没有计算具体数值，应补充说明。
2、研究结论仅是对研究过程的再述，需进一步凝练。
3、论文规范性一般，存在英文字体不一致、参考文献格式不统一等问题。数据挖掘稍有不足。参考文献应标注在正文中；理论介绍较为薄弱；第四章标题与最后结论的标题意思较为重复。",0.00352438,0.992168,0.996476,0,负向,80,2
49,4.71E+18,图表格式不够规范，字号偏大；英文文献较为陈旧。研究现状部分，如期货期权定价研究现状国内研究总结太少；期权定价公式介绍性内容太多；焦炭场外期权产品的优化部分内容薄弱。,0.000105884,0.999765,0.999894,0,负向,80,2
50,8.62E+18,"1、引言部分没有意义，该与绪论部分合并
创新点和不足写的不好分析、推理欠深入，选题过大。",0.000459007,0.99898,0.999541,0,负向,81,2
51,5.95E+18,案例资料来源不明确；专项计划缺点及优化建议缺乏依据。论文所提启示与建议针对性需进一步提炼与加强。,0.00224345,0.995015,0.997757,0,负向,81,2
52,4.97E+18,"最新参考文献不足，也缺乏对现有研究现状的评述。1、创新性不足
研究不深，逻辑结构松散",0.00968489,0.978478,0.990315,0,负向,83,2
53,5.18E+18,"论文所提建议针对性不强，与前文分析不相适应。1、5.4节设立的目的不明，前后衔接不当。
2、对策建议地给出，缺少相应的研究结论作为依据。",0.000368316,0.999181,0.999632,0,负向,88,2
54,5.48E+18,论文选题具有一定的理论价值和现实意义，论文体现了作者理论基础扎实，具有分析问题、解决问题的能力。但对本学科及相关学科领域发展状况和学术动态的了解程度欠深入。《中国对中东欧直接投资影响因素及潜力研究》论文主要不足之处为：1、“国内外研究现状”部分，仅是对国内外相关研究的简单堆砌，并未进行评审。2、论文中第三、四、五章的现状分析、因素分析、实证分析存在共性问题，均是提供了相关统计数据，但对数据反映的问题未做深入分析和探讨。3、论文选取的变量指标未给出依据，实证分析未涉及三个国家也未说明原因。4、论文规范性一般，参考文献不统一,0.26193,0.417932,0.73807,0,负向,84,2
55,7.66E+18,论文的的实践启示和意义有待进一步提高。第六章的建议部分如能结合实证部分的关联性程度来写会显得更加有的放矢。,0.178427,0.603496,0.821573,0,负向,85,2
56,7.40E+18,论文总体安排不科学；研究方法简单；观点缺乏创新性见解。论文创新点不够准确，部分图表缺少数据来源论文题目未能准确概括内容，缺少技术路线图，分析尚欠深入。,8.76E-06,0.999981,0.999991,0,负向,75,2
57,8.45E+17,"文献综述内容相对薄弱，分析欠深入。1、缺少税务风险成因分析，从而影响了文章的逻辑性。
相关内容研究深度不够。按照行文逻辑，论文的第五章应该是筹划方案设计，目前的标题不太合适。",1.03E-05,0.999977,0.99999,0,负向,78,2
58,8.99E+18,图形、目录页码等格式不够规范，缺乏理论基础。对于如何实施策略描述的不够清晰，结论部分写作不够合理。1、理论分析深度不足。H 省农行互联网金融服务“三农”存在的问题分析缺乏客观性；未给出策略提出的依据，科学性一般。,0.000117827,0.999738,0.999882,0,负向,69,2
59,2.93E+18,对本学科及相关学科领域发展状况和学术动态的了解程度欠深入。《中国家庭房地产财富效应研究——基于CFPS微观数据库》一文，研究目的不够明确，研究的创新性不足。文献综述缺少对近5年相关研究的梳理，不能很好得反映国内外相关研究前沿动态。论文的语言表述缺乏科学性，存在歧义、口语化、缺乏逻辑性等问题。论文规范性一般，参考文献格式不统一，错别字较多。论文实证对象应该进一步分类研究。,0.00176981,0.996067,0.99823,0,负向,71,2
60,9.09E+17,对本学科及相关学科领域发展状况和学术动态的了解程度欠深入。《河北省升级以下政府间事权与支出责任划分问题研究》一文，研究目的较明确，研究思路较清晰，具有一定的理论和实践意义。但是，该论文使用的访谈法不规范；未将前文介绍的理论依据运用于实际分析问题中；部分研究观点有待商榷，如5.3不同国家的国情不同，借鉴外国经验指导我国事权与支出责任划分是否合理；论文的规范性较差，参考文献格式不统一。论文的的实践意义有待进一步提高。,0.00448342,0.990037,0.995517,0,负向,74,2
61,8.97E+18,"1、文章选题过大
2、相关研究深入度不够
3.创新度不高1、创新点比较牵强
2、因为缺少对大数据思维影响税收征管工作的机理分析，所以显得逻辑推理不够严密。1、理论基础没有文献标注。
研究方法较简单，深度不够。",0.000733858,0.998369,0.999266,0,负向,76,2
62,4.02E+18,"1、文中“产业转型升级”与“产业结构升级”的提法需统一；
2、文章关于“产业转型升级”与大学生就业之间关系的理论分析不深入。论文无明显缺陷，只是文中多出出现错字现象。1、没有文献标注。
2、参考文献不规范。
既然分三个层面分析，第六章题目不是实证研究？",0.00367352,0.991837,0.996327,0,负向,81,2
63,3.76E+18,建议给出协同发展评价指标的研究综述；附表中“部分指标的数据是计算所得，对于个别缺失的数据，采用线性估计的方法求得”应给出具体说明。论文对京津冀入境游协同发展存在的问题缺乏分析，导致最终的对策建议针对性不强。第一章缺少反映论文写作思路的技术路线图,0.00692403,0.984613,0.993076,0,负向,81,2
64,6.02E+18,论文题目应为“……耦合协调关系研究”更为贴切；图1中最下面的两个文本框内容重复；图形格式不够规范；空间差异分析只是给出数据上的大小关系，未给出总体水平上是否存在显著差异，而且未对差异的原因进行分析。,0.000553223,0.998771,0.999447,0,负向,84,2
65,6.32E+18,1、论文逻辑结构不严谨，规范性有待加强。文献标注不清；二手车网页源代码无需放在论文里。论文缺乏创新点,0.00048893,0.998914,0.999511,0,负向,74,2
66,6.05E+18,"缺少对研究现状的评述，无总体技术路线图1、对研究结论应进行逐条梳理。
增加政策建议与研究结论的对应性。文章虽然从形式上看，作者做了大量工作，也用了一些方法，但是由于选题本身的问题、数据及行业选择的问题，使得研究结论要么无需证明，要么科学性不足，所提建议也缺乏科学性。",0.00886248,0.980306,0.991138,0,负向,79,2
67,4.49E+17,"研究成果解决问题策略前深入具体。《白洋淀流域湿地生态安全评价及生态补偿研究》论文主要不足之处为：
1、关键词中缺少核心词汇，建议将“生态安全”列入其中。
2、“生态补偿意愿作用影响机制分析”一章中，对统计结果的描述篇幅较长，但对结果所揭示的问题分析不够深入，无法体现“机制分析”。
论文规范性一般，存在英文人名首字母未大写、参考文献格式不统一。",0.0110113,0.975531,0.988989,0,负向,82,2
68,2.53E+18,较好。1.2标题与其他小节标题不匹配；只有4.4.1不够合理；第3章标题中应有邯郸市。,0.271655,0.396321,0.728345,0,负向,87,2
69,5.90E+18,有现实意义、理论意义，摘要不规范，标题不规范，表达不足作为实证研究基础的20例冤案，虽然多系近年纠错，但其“致错时间”基本都是上个世纪，冤假错案形成与当时历史、法治条件紧密相关。以此为基础分析当年的“证据问题”即可，但用于研究当下的刑事司法、证据制度等是否适当？还需三思。国外研究现状不准却，外文陈旧，创新性不强，规范性差,0.000379529,0.999157,0.99962,0,负向,71,3
70,1.08E+18,摘要不完整，逻辑性不强，准确性不高，凑字数论文平铺直叙，缺乏深度，问题和对策缺乏创新性，有错别字。选题尚可，结构合理，内容较为充实，但论证不足，分析不够深刻,0.00152803,0.996604,0.998472,0,负向,72,3
71,3.42E+18,缺少文献综述，调查数据不充分没有文献综述，三四章逻辑不顺，四章过于简单，写作思路不清晰，缺乏理论深度论文的对策研究过于表面，没有对问题进行内在逻辑的深入研究，缺少创新性,2.19E-05,0.999951,0.999978,0,负向,72,3
72,1.91E+18,结构合理，选题陈旧，论述缺乏深度，创新性不足1、2018年10月刑诉法进一步修改，而论文仍以2012年刑事诉讼法为法律依据。国外未成年人法律援助为什么选择英国、法国和荷兰三个国家，是否具有代表性，缺乏说明。3、国内外研究现状综述，应用文献截止到2003年，显然过于陈旧。4、语言表述不精炼选题具有一点现实意义，文章充重点不够突出，部分内容阐述不到位,1.21E-05,0.999973,0.999988,0,负向,74,3
73,5.85E+18,引用格式存在问题，某些内容不对题，部分内容与题目有偏差文章选题有现实意义，缺乏有力证据，创新性和深度不够。选题新颖，结构完整，对于互联网原创版权的保护国内外现状分析不够具体,0.02655, 0.941 _pr,0.97345,0,负向,75,3
74,8.52E+18,论文摘要有问题，国内外现状明显不足，没有引用。文中多处不规范，一些地方语言表达不规范，个别论述不够深入1、论文的创新性不足，基本上是已有研究重复，属于作者独创的东西不多。2、论文研究的不够深入，比较浅，可以看出，作者的理论功底一般。3、存在着较多的错别字及病句，说明作者的认真程度不够。选题具有现实意义有，结构设计合理，引用不足，论证缺乏合理，创新性不足,7.09E-05,0.999843,0.999929,0,负向,75,3
75,1.47E+18,文章不足之处在于专业的毕业文章中对意定辩护的介绍不够无国内外研究现状分析不足，有常识性错误，,0.150597,0.665341,0.849403,0,负向,77,3
76,5.81E+17,选题具有现实意义，结构相对合理，论证不足，缺乏深入和创新性1、网络监管的内容和原则并不是理论基础，这种表述不当。2、论文结构设计不妥。本应从选取的典型案件中归纳出本文要解决的问题，由此进行分析，而非简单的对案件事实的介绍。致使论文整体脱离案件中应提炼出的问题，而进行的一般泛泛的论述。对于国外网络食品交易的现状分析不够深入，举例不充分,0.00294611,0.993453,0.997054,0,负向,77,3
77,7.06E+18,语言表达不通顺，前后缺乏逻辑性，个别问题阐述不足1、对无罪推定原则的内容论述的不全面；2、对我国刑事诉讼法是体现了无罪推定原则的精神还是规定了无罪推定原则，论文作者并没有真正的理解；3、相关问题的论述缺乏有深入性的分析。论证部分不够充实，尤其美国和法国的无罪推定对我国的启示不够具体，建议完善,0.000665676,0.998521,0.999334,0,负向,77,3
78,9.06E+17,有些语句不清晰，不严谨，文章有部分论文没概括、不能概括出结论，二三章过于简单文章选题较好，结构设计合理，但论证不够充分，没有进行量化，对具体案例分析较少论文摘要应当提炼论文的主要研究内容及观点，但是目前的摘要中有一半篇幅是在讨论选题背景和研究意义。,0.00788535,0.982477,0.992115,0,负向,77,3
79,1.38E+18,实证资料丰富，格式问题较多，增强理论性部分内容分析不深入和系统，理论深度不够，所设想指导意义不明确选题较好，结构清晰，论证充分，提出的对策过于表面，没有深入研究内在逻辑,0.013462,0.970084,0.986538,0,负向,77,3
